"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"1","ENSMUSG00000034438",476.676206719463,-6.01765004202994,1.11898843739098,1.38621331428943e-09,2.42002039934617e-06,"Gbp8"
"2","ENSMUSG00000075602",3949.9113863111,-5.46406628300796,1.05881264832957,4.62681599382861e-09,5.59204099192578e-06,"Ly6a"
"3","ENSMUSG00000027438",108.542396863937,-2.95951927754888,0.597689907622403,3.227416449179e-08,2.07919725969592e-05,"Napb"
"4","ENSMUSG00000090100",200.716147793115,-1.99715294570963,0.413791939851186,8.89797073297466e-08,4.11190929872052e-05,"Ttbk2"
"5","ENSMUSG00000060798",241.427101624711,-2.85191791365318,0.631966278928596,2.32598110646906e-07,8.30586707837314e-05,"Intu"
"6","ENSMUSG00000079227",2428.7420959769,-2.89822827297447,0.651618331706318,3.12831945987286e-07,0.000102400323653172,"Ccr5"
"7","ENSMUSG00000019966",347.737487142517,-3.63900163442073,0.836864327249153,4.11608207198431e-07,0.000112397546496354,"Kitl"
"8","ENSMUSG00000046031",522.968354287619,-3.45014787815168,0.800754762012617,4.56430808549612e-07,0.000121549845151381,"Calhm6"
"9","ENSMUSG00000074578",372.783968058494,-2.57295906027078,0.594324245295838,5.17354576824846e-07,0.000131107663081806,"Zfas1"
"10","ENSMUSG00000097743",43.3266802196528,-2.68757436641004,0.613078050864484,6.81355209088087e-07,0.000152935043502743,"Gm16973"
"11","ENSMUSG00000018899",3427.83492919269,-2.69049873401585,0.629160036230589,6.65872536428122e-07,0.000152935043502743,"Irf1"
"12","ENSMUSG00000010461",198.755891684275,-2.21815952254353,0.514596112203128,1.09155393498459e-06,0.000204172564600927,"Eya4"
"13","ENSMUSG00000021668",406.706646724989,-1.6537963449839,0.385549535810531,1.30746507697928e-06,0.000233441946471573,"Polk"
"14","ENSMUSG00000045031",24.4613073465006,-3.24066647066694,0.764053063347392,1.66930515243441e-06,0.000274743701385407,"Cetn4"
"15","ENSMUSG00000020399",1044.13834739824,-2.71272539549643,0.664534745171714,1.70426550869821e-06,0.000275527289935688,"Havcr2"
"16","ENSMUSG00000032374",139.490271741489,-2.90829890543076,0.727745667537642,2.28228204720668e-06,0.000314554522155363,"Plod2"
"17","ENSMUSG00000004698",199.372696035826,-2.41628551278784,0.600028185556732,2.48002263589655e-06,0.000333043723548774,"Hdac9"
"18","ENSMUSG00000025235",140.173213881624,-1.51025104444625,0.362635231814322,2.55076016183634e-06,0.000339640200531971,"Bbs4"
"19","ENSMUSG00000023284",60.4522541940146,-2.37310685264522,0.589862635074241,3.01493113463816e-06,0.000378964783899479,"Zfp605"
"20","ENSMUSG00000092341",17692.6463780535,-2.5404413080465,0.651226179667656,3.56930794800849e-06,0.000431392049839303,"Malat1"
"21","ENSMUSG00000025279",57.7304510942902,-4.21634479248213,1.12092320851891,3.70387469278805e-06,0.000444203974834357,"Dnase1l3"
"22","ENSMUSG00000026096",53.1489779268592,-1.84917816937705,0.457469216192428,4.28975823437404e-06,0.000483783197597391,"Osgepl1"
"23","ENSMUSG00000042408",266.358542991921,-1.64989989101295,0.410267048719718,4.37164379166692e-06,0.000483783197597391,"Zmym6"
"24","ENSMUSG00000078247",66.8416770514217,-1.91746765431762,0.488562921518056,5.36631225760985e-06,0.000558380782725603,"Airn"
"25","ENSMUSG00000074794",734.08190098885,-3.01209574677884,0.804854344578214,6.21219699691366e-06,0.0006177597418703,"Arrdc3"
"26","ENSMUSG00000049232",471.815338831773,-1.90651208543054,0.496587284391325,6.82035267305174e-06,0.000649462916357509,"Tigd2"
"27","ENSMUSG00000022901",969.225853498773,-3.03960741854674,0.838363346387598,7.99952360490253e-06,0.000724285331725021,"Cd86"
"28","ENSMUSG00000037818",83.1740326931174,-2.6050574659575,0.701189277707684,8.32943311056147e-06,0.000743558016642363,"Abhd18"
"29","ENSMUSG00000036019",83.9887973967403,-2.56867022776109,0.701861532503899,9.33042779662413e-06,0.000792430711030045,"Tmtc2"
"30","ENSMUSG00000098973",489.731263099741,-2.27357698101118,0.619362151360954,9.74848732808762e-06,0.000810413930682078,"Mir6236"
"31","ENSMUSG00000046876",813.988689024798,-1.50483765625541,0.392608813953931,1.00258472620972e-05,0.000820374310777428,"Atxn1"
"32","ENSMUSG00000024231",974.299280036724,-1.62280862707664,0.439453137925374,1.1484175727531e-05,0.000902196845154835,"Cul2"
"33","ENSMUSG00000023206",302.459603667364,-2.23917242339295,0.618842631790639,1.18631838135975e-05,0.000922744277620016,"Il15ra"
"34","ENSMUSG00000113010",100.146236787802,-2.97369750097356,0.861332942791622,1.66779252594583e-05,0.00119110709853004,"Gm34084"
"35","ENSMUSG00000029204",457.473505543848,-3.33697717215706,0.988904958692425,1.72451886731679e-05,0.00121505114095432,"Rhoh"
"36","ENSMUSG00000053931",258.789257090717,-4.50544907418216,1.39224925665831,1.80489519498621e-05,0.00123767352472201,"Cnn3"
"37","ENSMUSG00000020385",609.016094583689,-1.82456609636281,0.524857421561608,2.7112429427182e-05,0.00159156349674079,"Clk4"
"38","ENSMUSG00000020728",21.3229875523375,-6.02421057258318,2.64614314285671,2.87578801495871e-05,0.00162533745651192,"Cep112"
"39","ENSMUSG00000034610",804.191567657256,-1.57290244143644,0.447504596197771,3.16276885826697e-05,0.00171356635521002,"Tut4"
"40","ENSMUSG00000034317",392.802614049359,-1.9716230373477,0.575363489357837,3.21521686143197e-05,0.0017182818818646,"Trim59"
"41","ENSMUSG00000036053",645.857011421308,-2.13887748926819,0.652916444673547,4.21179533452144e-05,0.00200532509987881,"Fmnl2"
"42","ENSMUSG00000019768",134.372252820842,-1.97056030874618,0.598984673954581,4.82543715604751e-05,0.00215389967601757,"Esr1"
"43","ENSMUSG00000078866",56.1775465859281,-2.04587873893811,0.608660968940294,5.08418810250135e-05,0.00221896565184725,"Zfp970"
"44","ENSMUSG00000053007",1196.2347414629,-1.73776825282802,0.529507389927918,5.59503720720044e-05,0.00235979744384875,"Creb5"
"45","ENSMUSG00000070390",510.891324032059,-2.14289667539594,0.645850387917071,5.57377339430132e-05,0.00235979744384875,"Nlrp1b"
"46","ENSMUSG00000014361",1789.87136744507,-2.32595536267129,0.740962611222608,5.9239541212732e-05,0.00244297026649461,"Mertk"
"47","ENSMUSG00000078877",67.4900387145745,-1.60270665515334,0.482837694676951,6.24180385912951e-05,0.00250181689374089,"Gm2004"
