"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"1","ENSMUSG00000000202",17.5049080339466,8.00338467372696,2.90429492328954,3.55258328313268e-25,5.58181885445806e-21,"Btbd17"
"2","ENSMUSG00000013419",70.95780286038,5.77158580569621,0.837969847303836,2.89478794050899e-13,1.13707270303193e-09,"Zfp651"
"3","ENSMUSG00000022421",139.623805201734,4.0695100529544,0.61798365121276,3.57924728217164e-12,1.12474266594962e-08,"Nptxr"
"4","ENSMUSG00000033316",124.368412302671,9.74188176861651,1.6935885384034,2.64967744902615e-11,6.93862201318314e-08,"Galnt9"
"5","ENSMUSG00000004933",364.982772158574,4.45626154918731,0.718116765801592,3.16931671693049e-11,7.11375775091597e-08,"Matk"
"6","ENSMUSG00000030789",5363.15201243035,4.90809535272977,0.824350918148166,1.69464108962463e-10,3.32827510002277e-07,"Itgax"
"7","ENSMUSG00000035397",627.893037710629,1.65972875401231,0.296581425606978,2.24213758380903e-09,3.20258779243705e-06,"Klf16"
"8","ENSMUSG00000068101",125.34989914814,3.91205733180096,0.707895242592365,2.18917400790005e-09,3.20258779243705e-06,"Cenpm"
"9","ENSMUSG00000033207",325.116083167719,6.05693195692975,1.12215305400216,3.28296105742365e-09,4.29849034452003e-06,"Mamdc2"
"10","ENSMUSG00000026922",886.244861858405,1.72806797354079,0.316576742480929,5.19142648794849e-09,5.82626378418905e-06,"Agpat2"
"11","ENSMUSG00000038893",145.393199649192,3.84584958343205,0.720814915355858,5.75996433173228e-09,6.03337063867851e-06,"Fam117a"
"12","ENSMUSG00000026809",41.4739408661157,3.76619865060246,0.705421783733873,6.32737632268408e-09,6.21348354887577e-06,"Spaca9"
"13","ENSMUSG00000090958",237.79426829168,5.57237841672549,1.07270068076219,9.50449538725442e-09,8.29636841803008e-06,"Lrrc32"
"14","ENSMUSG00000045045",155.375215610196,4.06191763383678,0.791966651052293,1.09868022265963e-08,9.08550718864636e-06,"Lrfn4"
"15","ENSMUSG00000054716",403.011934401791,1.96237261978377,0.37336155026209,1.17737758226932e-08,9.24947828630779e-06,"Zfp771"
"16","ENSMUSG00000078532",274.169654770585,3.16786128673528,0.623891440507066,1.86059017528814e-08,1.39207584924415e-05,"Nkain1"
"17","ENSMUSG00000030605",10507.9686085882,3.89991325326423,0.764044531634426,2.17538616229729e-08,1.55362124463705e-05,"Mfge8"
"18","ENSMUSG00000032431",1360.77278722504,1.76444506691364,0.346545716911928,3.30829502879315e-08,2.07919725969592e-05,"Crtap"
"19","ENSMUSG00000062661",138.502483470062,2.52127690931372,0.512749429547137,5.04767584794608e-08,3.05034934318957e-05,"Ncs1"
"20","ENSMUSG00000002393",376.667320537041,1.94968613035509,0.39543105160147,6.7751680228016e-08,3.94264592497254e-05,"Nr2f6"
"21","ENSMUSG00000000253",260.150856240866,4.11036538792268,0.850475613378071,7.27930624200012e-08,4.08473070265378e-05,"Gmpr"
"22","ENSMUSG00000026435",30.1833244398019,3.29798301275032,0.677378272229698,7.76019528688021e-08,4.09184737886246e-05,"Slc45a3"
"23","ENSMUSG00000045287",119.827366952995,5.64539443311433,1.1648532460988,8.20129811941521e-08,4.09184737886246e-05,"Rtn4rl1"
"24","ENSMUSG00000051043",197.678242537134,7.1178583903852,1.50160753899312,7.82227273201664e-08,4.09184737886246e-05,"Gprc5c"
"25","ENSMUSG00000036278",273.556219134768,3.09495087987569,0.640165825914926,8.66040387827247e-08,4.11190929872052e-05,"Macrod1"
"26","ENSMUSG00000019478",119.552795999032,3.20924162535555,0.667659076938894,9.50053078936038e-08,4.14645388228973e-05,"Rab4a"
"27","ENSMUSG00000002803",257.32480050833,2.11161100110727,0.435941381915676,9.37744426953558e-08,4.14645388228973e-05,"Btbd6"
"28","ENSMUSG00000005465",78.5387318937706,3.64918649037805,0.762351007926289,1.14847303267674e-07,4.71468678594651e-05,"Il27ra"
"29","ENSMUSG00000029545",946.032868908502,1.79994535168892,0.379461106477868,1.89410797697835e-07,7.44005613357098e-05,"Acads"
"30","ENSMUSG00000028716",261.477365932599,3.79899109036261,0.818732706132237,1.9959362504339e-07,7.50057855606981e-05,"Pdzk1ip1"
"31","ENSMUSG00000029455",16066.8584271897,2.01717682668416,0.42786158810532,2.00499172196367e-07,7.50057855606981e-05,"Aldh2"
"32","ENSMUSG00000063160",266.970607338556,1.70229808086394,0.359928256174194,2.5468289037217e-07,8.89239460783895e-05,"Numbl"
"33","ENSMUSG00000037868",655.664155305631,3.71298266586127,0.815709422416776,2.94163729654319e-07,9.83383089431631e-05,"Egr2"
"34","ENSMUSG00000000740",14902.5286432283,1.78269689071518,0.385390295937257,3.39777457050801e-07,0.00010548203414638,"Rpl13"
"35","ENSMUSG00000030742",58.8305933169977,3.15040507982561,0.702459904862872,3.53857412100242e-07,0.000106919378056135,"Lat"
"36","ENSMUSG00000037907",654.51064539471,3.14504055083628,0.699508822274979,4.14909476628597e-07,0.000112397546496354,"Ankrd13b"
"37","ENSMUSG00000032783",214.489116114505,3.3691750970099,0.760492649701931,4.80243029240534e-07,0.000125759641257121,"Troap"
"38","ENSMUSG00000048200",309.765523194799,3.92621561102185,0.885998332624397,5.05234663743323e-07,0.000130135197323526,"Cracr2b"
